,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
2000,1140,557,599,376,333,609,295,229,234,212,169,141,4894
2001,143,154,182,168,141,313,303,211,203,502,952,708,3980
2002,814,1045,1159,629,512,464,826,530,453,649,605,501,8187
2003,472,443,432,490,377,459,660,839,745,587,621,471,6596
2004,430,441,514,446,281,405,474,578,474,468,463,641,5615
2005,369,579,570,536,455,492,449,662,616,406,592,476,6202
2006,456,549,581,516,429,533,425,504,461,523,577,484,6038
2007,513,463,445,421,406,390,510,489,420,622,473,464,5616
2008,406,426,422,442,292,339,356,286,335,386,375,424,4489
2009,390,362,335,378,300,397,332,412,387,429,345,419,4486
2010,297,363,418,401,365,362,280,414,424,430,417,412,4583
2011,368,391,373,335,399,349,368,391,370,404,488,412,4648
2012,452,315,400,391,457,395,462,394,352,588,355,441,5002
2013,472,291,495,350,324,331,214,192,194,221,234,242,3560
2014,207,200,206,200,187,174,183,193,203,213,165,194,2325
2015,145,105,176,175,135,175,162,123,185,181,170,197,1929
2016,168,176,172,132,133,131,108,184,167,234,162,209,1976
2017,213,151,142,144,120,224,156,201,168,235,182,164,2100
2018,208,137,,,,,,,,,,,
